id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes,parent_id,counted_as_distinct_external_institution
C024,International Labour Organization (ILO) — International Training Centre,Italy,C,ILO training center,B,Verification pending,https://www.itcilo.org,official,1964,Turin.,,true
C025,World Bank — World Bank Institute,United States,C,International financial institution training arm,B,Verification pending,https://www.worldbank.org,official_parent_institution,—,"Washington, D.C.",,true
D001,Protocol Academy of Macedonia,North Macedonia,D,Private protocol training institution,A,VERIFIED — primary source,http://protocolacademy.org/,official_primary_source_reviewed,—,"Canonical institutional entity. Primary-source review supports Protocol Academy of Macedonia and the shared Macedonia/Kosovo presentation. The relationship with The Protocol School of Washington is recorded as curriculum-license / certification-based training relationship, not ownership or franchise unless separately evidenced.",,true
D002,University of Oxford — Diplomatic Studies Programme,United Kingdom,D,University programme,A,Verification pending,https://www.qeh.ox.ac.uk,official_program_page,—,Oxford.,,true
D003,Harvard Kennedy School,United States,D,University school,B,Verification pending,https://www.hks.harvard.edu,official,1936,"Cambridge, Massachusetts.",,true
D004,Sciences Po Paris,France,D,University (grande école),B,Verification pending,https://www.sciencespo.fr,official,1872,Paris.,,true
D005,Freie Universität Berlin — Center for Global Politics,Germany,D,University research center,B,Verification pending,https://www.fu-berlin.de,official_parent_institution,—,Berlin.,,true
D006,University of Tokyo — Graduate School of Public Policy,Japan,D,University school,B,Verification pending,https://www.pp.u-tokyo.ac.jp,official_program_page,—,Tokyo.,,true
D007,Peking University — School of International Studies,China,D,University school,B,Verification pending,https://www.sis.pku.edu.cn,official,—,Beijing.,,true
D008,University of São Paulo — Institute of International Relations,Brazil,D,University institute,B,Verification pending,https://www.iri.usp.br,official,—,São Paulo.,,true
D009,University of Cape Town — Department of Political Studies,South Africa,D,University department,B,Verification pending,https://www.politics.uct.ac.za,official_program_page,—,Cape Town.,,true
D010,University of Nairobi — Institute of Diplomacy and International Studies,Kenya,D,University institute,A,Verification pending,https://diplomacy.uonbi.ac.ke,official_program_page,—,Nairobi.,,true
D011,American University in Cairo — Department of Political Science,Egypt,D,University department,B,Verification pending,https://www.aucegypt.edu,official_parent_institution,—,Cairo.,,true
D012,University of Indonesia — Faculty of Social and Political Sciences,Indonesia,D,University faculty,B,Verification pending,https://www.fisip.ui.ac.id,official_program_page,—,Jakarta.,,true
D013,National University of Singapore — Lee Kuan Yew School of Public Policy,Singapore,D,University school,B,Verification pending,https://lkyspp.nus.edu.sg,official,2004,Singapore.,,true
D014,Hebrew University of Jerusalem — Department of International Relations,Israel,D,University department,B,Verification pending,https://en.ir.huji.ac.il,official_program_page,—,Jerusalem.,,true
D015,Tel Aviv University — School of Government and Policy,Israel,D,University school,B,Verification pending,https://en-social-sciences.tau.ac.il,official_program_page,—,Tel Aviv.,,true
D016,University of Tehran — Faculty of Law and Political Science,Iran,D,University faculty,B,Verification pending,https://law.ut.ac.ir,official_parent_institution,—,Tehran.,,true
D017,University of Lagos — Department of Political Science,Nigeria,D,University department,B,Verification pending,https://politicalscience.unilag.edu.ng,official_program_page,—,Lagos.,,true
D018,University of Dhaka — Department of International Relations,Bangladesh,D,University department,B,Verification pending,https://www.du.ac.bd,official_parent_institution,—,Dhaka.,,true
D019,University of Colombo — Department of International Relations,Sri Lanka,D,University department,B,Verification pending,https://www.cmb.ac.lk,official_parent_institution,—,Colombo.,,true
D020,University of the Philippines — Department of Political Science,Philippines,D,University department,B,Verification pending,https://polisci.upd.edu.ph,official_program_page,—,Quezon City.,,true
D021,University of Malaya — Department of International and Strategic Studies,Malaysia,D,University department,B,Verification pending,https://www.um.edu.my,official_parent_institution,—,Kuala Lumpur.,,true
D022,Chulalongkorn University — Faculty of Political Science,Thailand,D,University faculty,B,Verification pending,https://www.polsci.chula.ac.th,official_program_page,—,Bangkok.,,true
D023,University of Buenos Aires — Faculty of Social Sciences,Argentina,D,University faculty,B,Verification pending,https://www.uba.ar,official_parent_institution,—,Buenos Aires.,,true
D024,University of Chile — Institute of International Studies,Chile,D,University institute,B,Verification pending,https://www.uchile.cl,official_parent_institution,—,Santiago.,,true
D025,University of the West Indies — Institute of International Relations,Trinidad and Tobago,D,University institute,B,Verification pending,https://sta.uwi.edu,official_parent_institution,—,St. Augustine.,,true
D026,National Defense University (NDU),United States,D,Government defense university,B,VERIFIED — primary source,https://www.ndu.edu/,official_primary_source_reviewed,1976,"Washington, D.C. Restored as a distinct external record after the earlier D001 slot was repurposed for Protocol Academy of Macedonia. Official NDU History identifies the university as established in 1976 and describes its integrated education, research and outreach mission. Primary evidence: https://www.ndu.edu/About/History.aspx",,true
D027,"London Academy of Diplomacy, University of East Anglia",United Kingdom,D,Historical university-based diplomacy academy,A,CORROBORATED — historical professional and institutional references; inactive/current-successor status unresolved,,historical_no_active_official_site_resolved,2010,"Historical academy associated with the University of East Anglia and Professor Nabil Ayad. Retained as a historical record, not represented as a currently operating academy.",,true
G001,United Nations University,Japan,G,UN research and training university,B,Verification pending,https://unu.edu,official,1973,Tokyo.,,true
G002,International Atomic Energy Agency (IAEA) — Training Programmes,Austria,G,UN agency training programmes,B,Verification pending,https://www.iaea.org,official,1957,Vienna.,,true
G003,World Health Organization (WHO) — Global Health Workforce,Switzerland,G,UN agency training unit,C,Verification pending,https://www.who.int,official,1948,Geneva.,,true
G004,UNESCO — International Institute for Educational Planning,France,G,UNESCO institute,B,Verification pending,https://www.iiep.unesco.org,official,1963,Paris.,,true
G005,UNHCR — Division of International Protection,Switzerland,G,UN agency division,C,Verification pending,https://www.unhcr.org,official,1950,Geneva.,,true
G006,UNDP — Bureau for Policy and Programme Support,United States,G,UN agency bureau,C,Verification pending,https://www.undp.org,official,1965,New York.,,true
G007,FAO — Capacity Development Office,Italy,G,UN agency office,C,Verification pending,https://www.fao.org,official,1945,Rome.,,true
G008,UN Women — Training Centre,Dominican Republic,G,UN entity training center,B,Verification pending,https://trainingcentre.unwomen.org,official,2010,Santo Domingo.,,true
G009,UNODC — Education for Justice Initiative,Austria,G,UN office initiative,C,Verification pending,https://www.unodc.org,official,—,Vienna.,,true
G010,UNFPA — Technical and Advisory Division,United States,G,UN agency division,C,Verification pending,https://www.unfpa.org,official,1969,New York.,,true
G011,UNIDO — Department of Programme Development and Technical Cooperation,Austria,G,UN agency department,C,Verification pending,https://www.unido.org,official,1966,Vienna.,,true
G012,UNEP — Division of Environmental Law and Conventions,Kenya,G,UN environment division,C,Verification pending,https://www.unep.org,official,1972,Nairobi.,,true
G013,WMO — Education and Training Programme,Switzerland,G,UN agency programme,C,Verification pending,https://www.wmo.int,official,1950,Geneva.,,true
G014,ITU — Academy,Switzerland,G,UN agency academy,B,Verification pending,https://academy.itu.int,official,1865,Geneva.,,true
G015,IMO — International Maritime Law Institute,Malta,G,UN agency institute,B,Verification pending,https://www.imli.org,official,1988,Valletta.,,true
G016,ICAO — Training Institute,Canada,G,UN agency training institute,B,Verification pending,https://www.icao.int,official,1944,Montreal.,,true
G017,UPU — International Bureau,Switzerland,G,UN agency bureau,B,Verification pending,https://www.upu.int,official,1874,Bern.,,true
G018,WIPO — Academy,Switzerland,G,UN agency academy,B,Verification pending,https://www.wipo.int,official,1967,Geneva.,,true
G019,IFAD — Office of the Associate Vice-President,Italy,G,UN agency office,C,Verification pending,https://www.ifad.org,official,1977,Rome.,,true
G020,UNRWA — Department of Education,Jordan,G,UN agency department,B,Verification pending,https://www.unrwa.org,official,1949,Amman.,,true
G021,CTBTO — Preparatory Commission,Austria,G,UN-related organization,B,Verification pending,https://www.ctbto.org,official,1996,Vienna.,,true
G022,IAEA — Department of Safeguards,Austria,G,UN agency department,B,Verification pending,https://www.iaea.org,official,1957,Vienna.,,true
G023,OPCW — Inspectorate Division,Netherlands,G,UN-related organization division,B,Verification pending,https://www.opcw.org,official,1997,The Hague.,,true
G024,UNCCD — Global Mechanism,Germany,G,UN convention mechanism,B,Verification pending,https://www.unccd.int,official,1994,Bonn.,,true
G025,UNFCCC — Secretariat,Germany,G,UN convention secretariat,B,Verification pending,https://unfccc.int,official,1992,Bonn.,,true
H001,International Committee of the Red Cross (ICRC),Switzerland,H,International humanitarian organization,C,Verification pending,https://www.icrc.org,official,1863,Geneva.,,true
H002,International Federation of Red Cross and Red Crescent Societies (IFRC),Switzerland,H,International humanitarian federation,C,Verification pending,https://www.ifrc.org,official,1919,Geneva.,,true
H003,Amnesty International,United Kingdom,H,International human rights NGO,C,Verification pending,https://www.amnesty.org,official,1961,London.,,true
H004,Human Rights Watch,United States,H,International human rights NGO,C,Verification pending,https://www.hrw.org,official,1978,New York.,,true
H005,International Crisis Group,Belgium,H,International conflict prevention NGO,B,Verification pending,https://www.crisisgroup.org,official,1995,Brussels.,,true
H006,Transparency International,Germany,H,International anti-corruption NGO,B,Verification pending,https://www.transparency.org,official,1993,Berlin.,,true
H007,International Rescue Committee,United States,H,International humanitarian NGO,B,Verification pending,https://www.rescue.org,official,1933,New York.,,true
H008,Oxfam International,United Kingdom,H,International development NGO confederation,B,Verification pending,https://www.oxfam.org,official,1995,Oxford.,,true
H009,Save the Children International,United Kingdom,H,International children's rights NGO,B,Verification pending,https://www.savethechildren.net,official,1919,London.,,true
H010,World Economic Forum,Switzerland,H,International economic forum NGO,B,Verification pending,https://www.weforum.org,official,1971,Cologny/Geneva.,,true
H011,World Wildlife Fund (WWF),Switzerland,H,International conservation NGO,B,Verification pending,https://www.worldwildlife.org,official,1961,Gland.,,true
H012,Greenpeace International,Netherlands,H,International environmental NGO,B,Verification pending,https://www.greenpeace.org,official,1971,Amsterdam.,,true
H013,International Federation of Journalists (IFJ),Belgium,H,International journalists' federation,B,Verification pending,https://www.ifj.org,official,1926,Brussels.,,true
H014,Reporters Without Borders (RSF),France,H,International press freedom NGO,B,Verification pending,https://rsf.org,official,1985,Paris.,,true
H015,International Bar Association,United Kingdom,H,International lawyers' association,B,Verification pending,https://www.ibanet.org,official,1947,London.,,true
H016,International Chamber of Commerce (ICC),France,H,International business organization,B,Verification pending,https://iccwbo.org,official,1919,Paris.,,true
H017,World Federation of United Nations Associations (WFUNA),United States,H,International UN support NGO,B,Verification pending,https://wfuna.org,official,1946,New York.,,true
H018,SIPRI (Stockholm International Peace Research Institute),Sweden,H,Independent research institute,B,Verification pending,https://www.sipri.org,official,1966,Stockholm.,,true
H019,International Institute for Democracy and Electoral Assistance (IDEA),Sweden,H,Intergovernmental organization,B,Verification pending,https://www.idea.int,official,1995,Stockholm.,,true
H020,Parliamentary Assembly of the Council of Europe,France,H,International parliamentary assembly,B,Verification pending,https://www.assembly.coe.int,official,1949,Strasbourg.,,true
H021,Venice Commission (European Commission for Democracy through Law),France,H,Council of Europe advisory body,B,Verification pending,https://www.venice.coe.int,official,1990,Strasbourg.,,true
H022,European Court of Human Rights,France,H,International court,C,Verification pending,https://www.echr.coe.int,official,1959,Strasbourg.,,true
H023,European Court of Justice,Luxembourg,H,International court,C,Verification pending,https://curia.europa.eu,official,1952,Luxembourg.,,true
H024,Permanent Court of Arbitration,Netherlands,H,International arbitration court,B,Verification pending,https://www.pca-cpa.org,official,1899,The Hague.,,true
H025,International Court of Justice (ICJ),Netherlands,H,International court,C,Verification pending,https://www.icj-cij.org,official,1945,The Hague.,,true
H026,International Tribunal for the Law of the Sea (ITLOS),Germany,H,International tribunal,B,Verification pending,https://www.itlos.org,official,1996,Hamburg.,,true
H027,International Criminal Court (ICC),Netherlands,H,International criminal court,B,Verification pending,https://www.icc-cpi.int,official,2002,The Hague.,,true
H028,Special Court for Sierra Leone,Sierra Leone,H,International criminal tribunal,B,Verification pending,https://www.rscsl.org,official,2002,Freetown.,,true
H029,Extraordinary Chambers in the Courts of Cambodia (ECCC),Cambodia,H,International criminal tribunal,B,Verification pending,https://www.eccc.gov.kh,official,2006,Phnom Penh.,,true
H030,American Foreign Service Association (AFSA),United States,H,Professional association and labor union of the U.S. Foreign Service,A,VERIFIED — primary source,https://afsa.org/,official_primary_source_reviewed,1924,"Washington, DC-based professional association and exclusive representative for the U.S. Foreign Service. Direct diplomacy / foreign-service relevance warrants Level A, while Group H is retained because AFSA is an association rather than a diplomatic academy or school.",,true
H031,The American Academy of Diplomacy (AAD),United States,H,Independent non-profit professional association of senior diplomatic practitioners,A,VERIFIED — primary source,https://www.academyofdiplomacy.org/,official_primary_source_reviewed,1983,"Washington, DC professional body of senior former diplomats and foreign-policy practitioners.",,true
H032,The Indian Society of International Law (ISIL),India,H,Professional and academic society for international law and diplomacy,B,VERIFIED — primary source,https://www.isil-aca.org/,official_primary_source_reviewed,1959,Parent entity of A066 Indian Academy of International Law and Diplomacy; society and teaching academy are linked through explicit parent-child entity resolution.,,true
H033,Tech Diplomacy Network,United States,H,Non-profit international tech-diplomacy network,B,VERIFIED — primary source plus World Economic Forum / LinkedIn corroboration,https://www.tech-diplomacy.org/,official_primary_source_reviewed,2023,"San Francisco-based network connecting diplomats, civil society, academia and technology actors through dialogue, training and capacity building.",,true
H034,International Forum for Peace and Diplomacy (IFPD),Nigeria / Tanzania,H,International non-partisan diplomacy and peace organization,B,VERIFIED — primary source; independent legal-form verification remains pending,https://intfpd.org/,official_primary_source_reviewed,—,"Diplomatic organization focused on peace, dialogue, international cooperation and multiple forms of public/economic/cultural diplomacy.",,true
H035,Academy of Youth Diplomacy,Russia (Tatarstan),H,Youth diplomacy organization and informal educational platform,B,VERIFIED — primary source,https://youthdiplomacy.ru/en,official_primary_source_reviewed,—,"Youth organization supporting international youth cooperation, diplomacy education and programmes including diplomatic protocol and etiquette.",,true
H036,Inside Diplomacy,Uganda,H,Youth-led diplomacy NGO,B,CORROBORATED — EU Delegation and IGAD institutional sources plus leadership profile; primary organizational domain not resolved,,no_primary_domain_resolved,—,Uganda-based youth-led diplomacy NGO independently corroborated by the EU Delegation to Uganda and IGAD through 2026 diplomatic programming.,,true
H037,ACD — Agency for Cultural Diplomacy,Austria,H,Non-profit cultural-diplomacy association,B,VERIFIED — primary source plus European/UN institutional corroboration,https://www.acdvienna.org/,official_primary_source_reviewed,2016,"Vienna-based non-profit association registered in 2016, active in cultural diplomacy, intercultural education, civil-society engagement and international cooperation.",,true
I001,World Bank Group,United States,I,International financial institution,C,Verification pending,https://www.worldbank.org,official,1944,"Washington, D.C.",,true
I002,International Monetary Fund (IMF),United States,I,International financial institution,C,Verification pending,https://www.imf.org,official,1944,"Washington, D.C.",,true
I003,Asian Development Bank (ADB),Philippines,I,Regional development bank,C,Verification pending,https://www.adb.org,official,1966,Mandaluyong.,,true
I004,African Development Bank (AfDB),Ivory Coast,I,Regional development bank,C,Verification pending,https://www.afdb.org,official,1964,Abidjan.,,true
I005,Inter-American Development Bank (IDB),United States,I,Regional development bank,C,Verification pending,https://www.iadb.org,official,1959,"Washington, D.C.",,true
R001,World Protocol Academy (WPA),North Macedonia,R,Independent protocol and diplomatic training institution,A,WPA internal record,https://worldprotocolacademy-code.github.io,official,2026,World Protocol Academy — independent institution. Not verified by external source in this dataset.,,n/a_internal
